opportunity,time,partition,deadline_minutes,delay_minutes,entry_bid,exit_ask,gross_executable_bps,control_bps,incremental_bps,entry_improvement_original_bps,entry_delay_ms
1769742000015_CTXSELL,2026.01.30 03:00:00,JAN_JUN,10,1,5399.21,5366.79,60.04582151833337,74.69697698245726,-14.651155464123889,-14.739660969304248,28
1769742000015_CTXSELL,2026.01.30 03:00:00,JAN_JUN,10,3,5395.75,5366.79,53.671871380253044,74.69697698245726,-21.025105602204214,-21.13856021068337,94
1769742000015_CTXSELL,2026.01.30 03:00:00,JAN_JUN,10,5,5390.14,5366.79,43.31983955889896,74.69697698245726,-31.377137423558295,-31.513654067369615,29
1769760000047_CTXSELL,2026.01.30 08:00:00,JAN_JUN,10,0,5184.98,5193.46,-16.354932902345762,-16.354932902345762,0.0,0.0,0
1769760000047_CTXSELL,2026.01.30 08:00:00,JAN_JUN,10,1,5188.59,5193.46,-9.385979620667447,-16.354932902345762,6.968953281678315,6.962418369985192,16
1769760000047_CTXSELL,2026.01.30 08:00:00,JAN_JUN,10,3,5196.87,5193.46,6.561641911380994,-16.354932902345762,22.916574813726754,22.93162172274595,125
1769760000047_CTXSELL,2026.01.30 08:00:00,JAN_JUN,10,5,5203.41,5193.46,19.12207571573222,-16.354932902345762,35.47700861807798,35.54497799412976,144
1769784600035_CTXSELL,2026.01.30 14:50:00,JAN_JUN,10,0,5066.15,5064.74,2.7831785478121542,2.7831785478121542,0.0,0.0,0
1769784600035_CTXSELL,2026.01.30 14:50:00,JAN_JUN,10,1,5076.07,5064.74,22.320417173127886,2.7831785478121542,19.53723862531573,19.580944109432355,34
1769784600035_CTXSELL,2026.01.30 14:50:00,JAN_JUN,10,3,5082.57,5064.74,35.080677688649494,2.7831785478121542,32.29749914083734,32.41119982629822,64
1769784600035_CTXSELL,2026.01.30 14:50:00,JAN_JUN,10,5,5090.24,5064.74,50.095869742880495,2.7831785478121542,47.31269119506834,47.55090157220009,80
1769792400039_CTXSELL,2026.01.30 17:00:00,JAN_JUN,10,0,5033.17,5000.65,64.61136818347173,64.61136818347173,0.0,0.0,0
